Category,Food,Amount
carb,wholemeal-bread,60.59701492537313
carb,wholemeal-bread,60.14925373134328
carb,wholemeal-bread,102.32558139534883
carb,wholemeal-bread,26.834532374100718
carb,wholemeal-bread,27.40506329113924
carb,wholemeal-bread,60.15873015873016
carb,wholemeal-bread,55.3125
carb,wholemeal-bread,33.02325581395349
carb,wholemeal-bread,74.90566037735849
carb,wholemeal-bread,53.88059701492537
carb,wholemeal-bread,25.256410256410255
carb,wholemeal-bread,103.95348837209303
carb,wholemeal-bread,62.34375
carb,wholemeal-bread,79.41176470588235
carb,wholemeal-bread,36.57657657657658
carb,wholemeal-bread,61.09375
carb,wholemeal-bread,46.344086021505376
carb,wholemeal-bread,48.93333333333334
carb,wholemeal-bread,42.162162162162154
carb,wholemeal-bread,63.4375
carb,wholemeal-bread,35.87155963302752
carb,wholemeal-bread,126.57894736842105
carb,wholemeal-bread,23.88489208633094
carb,wholemeal-bread,17.294117647058826
carb,wholemeal-bread,103.95348837209303
carb,wholemeal-bread,47.956989247311824
carb,wholemeal-bread,62.34375
carb,wholemeal-bread,46.805555555555564
carb,wholemeal-bread,60.142857142857146
carb,wholemeal-bread,26.83098591549296
carb,wholemeal-bread,29.7
carb,oat,15.0
carb,oat,18.78787878787879
carb,oat,17.333333333333336
carb,oat,112.5
carb,oat,22.500000000000004
carb,oat,12.0
carb,oat,34.583333333333336
carb,oat,14.318181818181817
carb,oat,23.214285714285715
carb,oat,25.666666666666668
carb,oat,13.461538461538462
carb,oat,20.44943820224719
carb,oat,40.869565217391305
carb,oat,13.461538461538462
carb,oat,15.903954802259886
carb,oat,17.931034482758623
carb,oat,18.529411764705884
carb,oat,14.545454545454545
carb,oat,20.59925093632959
carb,oat,19.77777777777778
carb,oat,16.1864406779661
carb,oat,15.847457627118647
carb,oat,14.85714285714286
carb,oat,16.52439024390244
carb,oat,11.836734693877549
carb,oat,6.416666666666667
carb,oat,54.047619047619044
carb,oat,8.721804511278195
carb,oat,32.27777777777777
carb,oat,13.206106870229007
carb,oat,9.699248120300751
carb,potato,28.666666666666668
carb,potato,22.250000000000004
carb,potato,26.98072805139186
carb,potato,21.724137931034484
carb,potato,28.52852852852853
carb,potato,11.440000000000001
carb,potato,26.3265306122449
carb,potato,13.515439429928739
carb,potato,22.499999999999996
carb,potato,17.69503546099291
carb,potato,17.94326241134752
carb,potato,13.53919239904988
carb,potato,18.404255319148938
carb,potato,10.844793713163066
carb,potato,16.565934065934066
carb,potato,16.483516483516482
carb,potato,16.565934065934066
carb,potato,18.156028368794328
carb,potato,18.404255319148938
carb,potato,13.463414634146343
carb,potato,16.043956043956044
carb,potato,11.237721021611003
carb,quinoa,45.82857142857143
carb,quinoa,44.142857142857146
carb,quinoa,30.571428571428573
carb,quinoa,120.0
carb,quinoa,176.49999999999997
carb,quinoa,21.5
carb,quinoa,21.571428571428573
carb,quinoa,31.27272727272727
carb,quinoa,31.900000000000002
carb,quinoa,71.27659574468086
carb,quinoa,19.68152866242038
carb,quinoa,23.65625
carb,quinoa,14.700239808153476
carb,quinoa,20.433333333333334
carb,quinoa,20.466666666666665
carb,quinoa,18.57142857142857
carb,quinoa,14.820143884892087
carb,quinoa,6.8
carb,quinoa,27.083333333333336
carb,quinoa,25.0
carb,quinoa,7.477876106194691
carb,quinoa,8.666666666666666
carb,quinoa,7.394226967180704
carb,quinoa,8.025078369905957
carb,quinoa,5.6
carb,quinoa,7.447916666666667
carb,pasta,332.0
carb,pasta,393.8888888888889
carb,pasta,342.99999999999994
carb,pasta,332.0
carb,pasta,122.03389830508475
carb,pasta,122.03389830508475
carb,pasta,332.0
carb,pasta,187.17948717948718
carb,pasta,342.99999999999994
